TC 1 time,TC 1 data,TC 2 time,TC 2 data,TC 3 time,TC 3 data
1650207528.1833408,28.809625247677495,1650207528.2141955,29.248951916763566,1650207529.8581865,Out of Range
1650207529.199432,28.513076702052203,1650207529.2303245,29.30354750282265,1650207530.886053,Out of Range
1650207530.2155797,28.675018121378706,1650207530.2464423,28.944724835884507,1650207531.9138157,Out of Range
1650207531.2313178,28.515027951026752,1650207531.2624943,29.395183747834274,1650207532.9418416,Out of Range
1650207532.2475753,28.593074959391892,1650207532.2780004,29.24700202219723,1650207533.969716,Out of Range
1650207533.2637281,28.435023792705945,1650207533.294201,29.37712760688412,1650207534.997833,Out of Range
1650207534.2821054,28.838375796045476,1650207534.3101833,29.39272474026234,1650207536.025644,Out of Range
1650207535.298085,28.840836046741664,1650207535.3491457,28.985174005086023,1650207537.053028,Out of Range
1650207536.3234794,28.91105697529701,1650207536.369811,29.242592766786075,1650207538.0811617,Out of Range
1650207537.3396022,28.565249426986785,1650207537.3858511,29.2074939023615,1650207539.1091475,Out of Range
1650207538.355794,28.424756972215967,1650207538.401873,29.21139383379388,1650207540.1363091,Out of Range
1650207539.3719733,28.701821429355572,1650207539.4179082,29.08073829091084,1650207541.1642551,Out of Range
1650207540.3879747,28.872977386815986,1650207540.433791,28.99051559874488,1650207542.192163,Out of Range
1650207541.4042,28.842277090215024,1650207541.449816,29.583261680064503,1650207543.2203,Out of Range
1650207542.420347,29.041223999081442,1650207542.4654365,29.829350924740126,1650207544.248414,Out of Range
1650207543.436448,28.77934507216031,1650207543.4811587,29.575464549770096,1650207545.2810056,Out of Range
1650207544.45245,28.822770475380974,1650207544.4971864,29.483843953838047,1650207546.3091934,Out of Range
1650207545.4686058,28.970502228444364,1650207545.5132074,29.74309015700228,1650207547.3371873,Out of Range
1650207546.4849894,28.93395335805392,1650207546.5291226,29.782069040384084,1650207548.3651984,Out of Range
1650207547.5013738,28.9124979230335,1650207547.5445826,29.388316141006264,1650207549.3929434,Out of Range
1650207548.5178654,29.084129206144272,1650207548.5605462,29.395605367502334,1650207550.4209647,Out of Range
1650207549.5339098,28.809115630819637,1650207549.580759,29.836127984297455,1650207551.4489467,Out of Range
1650207550.5500994,28.727182859588055,1650207550.5971596,29.326435331988183,1650207552.4769459,Out of Range
1650207551.5662038,28.861783345080738,1650207551.6131973,29.493081964461282,1650207553.5049608,Out of Range
1650207552.5822048,29.188925213192103,1650207552.6291974,29.56181943314457,1650207554.532944,Out of Range
1650207553.598206,28.953457920985173,1650207553.6452396,29.397554987652637,1650207555.5609539,Out of Range
1650207554.6142313,29.189434599236066,1650207554.661206,29.501388938932234,1650207556.5889473,Out of Range
1650207555.6303318,28.744230816046592,1650207555.6771917,29.962792921485757,1650207557.6162708,Out of Range
1650207556.6463573,29.060726581943932,1650207556.693206,29.702160779710827,1650207558.6441984,Out of Range
1650207557.662344,29.0178204244174,1650207557.7091887,29.904334070876352,1650207559.6722248,Out of Range
1650207558.6779175,29.140173998015428,1650207558.7251894,29.80689545452169,1650207560.7002127,Out of Range
1650207559.693975,29.088029593106928,1650207559.7412124,29.364920256828206,1650207561.72819,Out of Range
1650207560.7150505,28.875437509302053,1650207560.7572033,29.70749879493617,1650207562.7599587,Out of Range
1650207561.743178,29.298629102737497,1650207561.7722163,29.647585807063344,1650207563.7979457,Out of Range
1650207562.771973,29.255223254589247,1650207562.7881742,29.86586876387916,1650207564.8294406,Out of Range
1650207563.8101525,29.056826094173402,1650207563.8246982,29.708007930807835,1650207565.879619,Out of Range
1650207564.8662996,29.419000571674722,1650207564.884957,29.672924538226013,1650207566.9078104,Out of Range
1650207565.8946283,29.277181073526215,1650207565.909515,29.94576462757837,1650207567.9359426,Out of Range
1650207566.9258404,29.205034505312067,1650207566.9379268,29.723600175335257,1650207568.9630673,Out of Range
1650207567.9507892,28.875437509302053,1650207567.9655814,29.581821647286965,1650207569.9941962,Out of Range
1650207568.9777062,29.357121513553196,1650207568.9923308,29.941867408743473,1650207571.0251818,Out of Range
1650207570.0063372,29.2181748621687,1650207570.0209239,29.676822750557655,1650207572.0561855,Out of Range
1650207571.0372522,29.0836197693132,1650207571.0519342,29.99693620647112,1650207573.0873268,Out of Range
1650207572.0684817,29.127032670661585,1650207572.0833042,29.926787467376382,1650207574.1181316,Out of Range
1650207573.0994906,29.103630996944965,1650207573.114294,29.932633373788786,1650207575.1491854,Out of Range
1650207574.1303725,29.28938943804404,1650207574.1452658,29.819097645893113,1650207576.179313,Out of Range
1650207575.161333,29.212834371939252,1650207575.176175,29.87027536866511,1650207577.210314,Out of Range
1650207576.191496,29.060726581943932,1650207576.206314,29.998375672826516,1650207578.2411704,Out of Range
1650207577.222446,29.59546650531047,1650207577.2373133,30.041751014585603,1650207579.272062,Out of Range
1650207578.2533464,29.333724938080678,1650207578.2682126,29.92627838943812,1650207580.3025558,Out of Range
1650207579.284246,29.326435331988183,1650207579.2988472,29.97889040642574,1650207581.333596,Out of Range
1650207580.314751,29.30447848963924,1650207580.329545,30.347609949627106,1650207582.3673396,Out of Range
1650207581.345861,29.31473676905684,1650207581.3606918,29.831299743779418,1650207583.4161603,Out of Range
1650207582.3795795,29.62665408978175,1650207582.3943708,29.987193604963704,1650207584.4445894,Out of Range
1650207583.4328187,28.92080951305713,1650207583.445664,30.05149311226579,1650207585.4724715,Out of Range
1650207584.463917,29.33033482416131,1650207584.4798157,30.085124620608397,1650207586.515876,Out of Range
1650207585.4872036,29.396623987602087,1650207585.5020585,30.13721969269971,1650207587.5466254,Out of Range
1650207586.5036054,29.527240451057178,1650207586.5306761,30.107995504738884,1650207588.5774581,Out of Range
1650207587.520039,29.438074576562425,1650207587.5615845,29.983296539168354,1650207589.6082284,Out of Range
1650207588.536409,29.521901619288975,1650207588.5895636,30.380723112506963,1650207590.6509118,Out of Range
1650207589.5527346,29.32109548457348,1650207589.6203043,29.903912654405392,1650207591.6810496,Out of Range
1650207590.5689757,29.126611086747854,1650207590.6389408,30.087072967233695,1650207592.708939,Out of Range
1650207591.5851805,29.482403785413027,1650207591.654578,29.96482925655647,1650207593.7363527,Out of Range
1650207592.601229,29.24700202219723,1650207592.6705515,30.237593875382768,1650207594.7641864,Out of Range
1650207593.6173713,29.204103430818382,1650207593.6865053,30.535606002838335,1650207595.7922027,Out of Range
1650207594.6336231,29.62962186905602,1650207594.702591,30.387075407412897,1650207596.8199792,Out of Range
1650207595.6498516,29.44782224915163,1650207595.7179282,30.171357523336813,1650207597.847917,Out of Range
1650207596.6691983,29.736821860006327,1650207596.7340536,30.099272061382074,1650207598.8787792,Out of Range
1650207597.6937702,29.33966213570411,1650207597.7517335,30.64076665668668,1650207599.9174502,Out of Range
1650207598.724563,29.81232057221367,1650207598.7712836,30.52781590775179,1650207600.945924,Out of Range
1650207599.7407434,29.45418021079237,1650207599.8087232,30.45185946577624,1650207601.9729285,Out of Range
1650207600.7568758,29.797238874393305,1650207600.8247232,30.43433027938818,1650207603.000688,Out of Range
1650207601.7731378,29.651572092144054,1650207601.840759,30.284346443507506,1650207604.028414,Out of Range
1650207602.78939,29.813339076022945,1650207602.8568466,30.51274448307491,1650207605.0562859,Out of Range
1650207603.8056235,29.848417800337923,1650207603.87301,30.240051010080023,1650207606.084162,Out of Range
1650207604.8218215,30.013542397027646,1650207604.8891098,30.512235544999523,1650207607.1121774,Out of Range
1650207605.838101,29.600383617838776,1650207605.9052374,30.353032573078462,1650207608.1399486,Out of Range
1650207606.854321,29.532157881454218,1650207606.9213114,30.538062443482854,1650207609.1677947,Out of Range
1650207607.8706076,29.491729753467393,1650207607.9372418,30.623749493509166,1650207610.1955395,Out of Range
1650207608.8868997,30.03302702341882,1650207608.9533496,30.63738088253146,1650207611.2233274,Out of Range
1650207609.9032462,29.76605633120035,1650207609.969363,30.407571065955164,1650207612.251325,Out of Range
1650207610.9237778,29.71979010926268,1650207610.9845712,30.707482386987966,1650207613.279178,Out of Range
1650207611.9729753,29.882986116670722,1650207612.0047283,30.497163897726942,1650207614.3071737,Out of Range
1650207612.9902158,29.828420496066194,1650207613.0218933,30.722551029930656,1650207615.3356276,Out of Range
1650207614.006689,29.94534337054661,1650207614.037708,30.37200192420349,1650207616.3777673,Out of Range
1650207615.0227342,29.800627393649645,1650207615.0528638,30.529763436916458,1650207617.4058518,Out of Range
1650207616.0379887,29.902473154425717,1650207616.0678148,30.56676580794521,1650207618.433585,Out of Range
1650207617.054071,29.933142496291286,1650207617.0835931,30.562870882638894,1650207619.4614615,Out of Range
1650207618.0702431,30.005239310607916,1650207618.0995972,30.516130657260316,1650207620.4893131,Out of Range
1650207619.0863862,30.172796656465742,1650207619.1145651,30.45575480097279,1650207621.517233,Out of Range
1650207620.1026278,29.90975868756889,1650207620.1305807,30.743460920199837,1650207622.5449808,Out of Range
1650207621.1187785,29.76359813993361,1650207621.1465137,30.428487152528977,1650207623.5728555,Out of Range
1650207622.1349876,29.93458200206124,1650207622.1625912,30.49809364154467,1650207624.6007164,Out of Range
1650207623.151059,30.040311655039776,1650207623.177942,30.669467274588513,1650207625.628467,Out of Range
1650207624.167227,29.88052819781331,1650207624.1938007,30.696219941032865,1650207626.6563363,Out of Range
1650207625.1835783,30.055389926147562,1650207625.2087462,30.381232018798354,1650207627.684325,Out of Range
1650207626.206712,29.714873457780683,1650207626.2287278,30.827184313950898,1650207628.7123227,Out of Range
1650207627.2306254,30.215146902747797,1650207627.2478411,30.896764551905417,1650207629.740308,Out of Range
1650207628.2468605,30.12163355987086,1650207628.2947428,30.824728641575554,1650207630.768453,Out of Range
1650207629.2629845,29.99058160945314,1650207629.3107376,30.631959720523263,1650207631.7963443,Out of Range
1650207630.2792702,30.29645537879667,1650207630.326751,30.848092178358304,1650207632.827394,Out of Range
1650207631.295368,30.156702034903958,1650207631.3427365,30.460071173489002,1650207633.882097,Out of Range
1650207632.31148,30.144503700116367,1650207632.3587217,30.707394495853276,1650207634.9123719,Out of Range
1650207633.327623,29.949661832016826,1650207633.3746133,30.82421999676414,1650207635.94037,Out of Range
1650207634.3438697,30.201001111158515,1650207634.3906128,30.98386059953035,1650207636.9682243,Out of Range
1650207635.360245,29.906791791378442,1650207635.406729,30.611977406504803,1650207637.9962373,Out of Range
1650207636.3765001,30.140607215403243,1650207636.422785,30.964393526285463,1650207639.0240803,Out of Range
1650207637.392753,30.103589892791163,1650207637.4388835,30.964393526285463,1650207640.0518007,Out of Range
1650207638.4090686,29.964741494053087,1650207638.4546003,30.689869554954704,1650207641.0795512,Out of Range
1650207639.4246142,30.253090556472987,1650207639.4706116,30.684027843298473,1650207642.107436,Out of Range
1650207640.446509,30.134253531376494,1650207640.488665,30.86121204227537,1650207643.135313,Out of Range
1650207641.4627495,30.11866735472251,1650207641.5083587,30.89769422918803,1650207644.163325,Out of Range
1650207642.47879,30.188803336232954,1650207642.5270698,30.571081726269682,1650207645.1911879,Out of Range
1650207643.4948716,30.198544075985783,1650207643.543136,30.854862696744277,1650207646.219201,Out of Range
1650207644.5109973,30.231661918370644,1650207644.5592408,30.88406620290033,1650207647.2471993,Out of Range
1650207645.5271268,29.993460700404647,1650207645.5746453,30.821764412666024,1650207648.2751937,Out of Range
1650207646.5433216,30.129848124317288,1650207646.5906277,30.946364314970747,1650207649.3039117,Out of Range
1650207647.5593777,30.157632364580575,1650207647.6067512,31.08795969818038,1650207650.336238,Out of Range
1650207648.5746436,29.983718066800936,1650207648.6227386,30.89769422918803,1650207651.3881612,Out of Range
1650207649.5908275,30.20726707936452,1650207649.6385894,31.171655766907616,1650207652.418949,Out of Range
1650207650.606954,30.092830424154684,1650207650.6546204,30.722463330441713,1650207653.4467032,Out of Range
1650207651.62316,30.509691565060546,1650207651.6707478,31.156084907743608,1650207654.4744313,Out of Range
1650207652.639283,30.10790813508666,1650207652.6868505,31.19501162502771,1650207655.5022736,Out of Range
1650207653.6553156,30.188294479941955,1650207653.702868,30.795944696306528,1650207656.5303292,Out of Range
1650207654.680928,30.335835352012825,1650207654.721692,30.943909062670325,1650207657.558319,Out of Range
1650207655.7026465,30.548133499271366,1650207655.7385933,30.914707212624872,1650207658.5863168,Out of Range
1650207656.7178836,30.135184071296504,1650207656.761719,31.17309377414988,1650207659.6143174,Out of Range
1650207657.7336862,30.355822754553305,1650207657.7775736,31.124942500357523,1650207660.6423128,Out of Range
1650207658.749915,30.225308830358212,1650207658.793636,31.09963861780279,1650207661.6703165,Out of Range
1650207659.7660563,30.125442746467243,1650207659.8096654,31.259237570688157,1650207662.698319,Out of Range
1650207660.7821593,30.50334019886057,1650207660.8257332,31.046574066872694,1650207663.726337,Out of Range
1650207661.798213,30.38647915735755,1650207661.8412514,30.90641145366995,1650207664.7543254,Out of Range
1650207662.8143337,30.332448313375938,1650207662.8572357,31.256783093605254,1650207665.7815726,Out of Range
1650207663.8303568,30.220903851148027,1650207663.873285,31.16141566721737,1650207666.8094697,Out of Range
1650207664.8463633,30.363614119849466,1650207664.8892872,31.103023194545038,1650207667.8373501,Out of Range
1650207665.862416,30.333887464789612,1650207665.904585,30.969216679090266,1650207668.872072,Out of Range
1650207666.8783767,30.116210175384964,1650207666.9206886,31.112755497646123,1650207669.9085124,Out of Range
1650207667.8943887,30.209215200412373,1650207667.936605,30.97454838244268,1650207670.9622505,Out of Range
1650207668.91065,30.189733828035003,1650207668.9525063,31.34435783638178,1650207671.990381,Out of Range
1650207669.9491124,30.361157558604873,1650207669.9792154,31.052922163934618,1650207673.0183775,Out of Range
1650207670.9772453,29.901367445178032,1650207670.9971635,31.077718786510605,1650207674.0466456,Out of Range
1650207672.0053632,30.351418320312515,1650207672.0202465,30.838778620347455,1650207675.0747604,Out of Range
1650207673.033318,30.208706449168464,1650207673.0482938,31.404682878830652,1650207676.1057756,Out of Range
